time_offset	cpu_percent	cpu_user	cpu_system	memory_rss	memory_vms
0.0	0	0.05	0.01	43515904	687284224
1.0	1977	17.9	1.94	5609070592	9737244672
2.0	3021	46.23	3.83	10675777536	15354871808
3.0	4160	82.23	9.45	12222676992	16495984640
4.0	541	87.13	9.96	7086342144	16630202368
5.0	500	92.02	10.07	7199494144	16563093504
6.0	500	96.9	10.19	7365259264	16831528960
7.0	500	101.81	10.28	7503147008	16965746688
8.0	501	106.72	10.38	7658635264	17099964416
9.0	499	111.61	10.48	7770001408	17167073280
10.0	408	115.59	10.58	7861108736	17167073280
11.0	233	117.57	10.93	4487462912	17167073280
12.0	201	119.54	10.97	4523495424	17234182144
13.0	199	121.51	10.99	4559290368	17234182144
14.0	201	123.49	11.02	4602806272	17301291008
15.0	199	125.45	11.05	4639809536	17368399872
16.0	201	127.43	11.08	4675461120	17368399872
17.01	210	129.39	11.22	3933085696	17435508736
18.01	227	131.01	11.87	3955630080	17435508736
19.01	1871	147.94	13.69	8045953024	17701101568
20.01	5072	196.95	15.59	11540656128	18359771136
21.01	5803	253.3	17.29	12679622656	18586890240
22.01	5569	307.5	18.77	13411078144	18858430464
23.01	4820	354.26	20.3	14714626048	19254874112
24.01	5854	411.44	21.69	14915837952	19270479872
25.01	5105	461.02	23.12	15982362624	20104683520
26.02	5559	515.35	24.48	16752680960	21088628736
27.02	5230	566.31	25.84	17189548032	21155737600
28.02	5293	618.06	27.15	18493468672	22689513472
29.02	5259	669.47	28.41	19146739712	23424606208
30.02	5199	720.19	29.7	19660165120	23891263488
31.02	5212	770.82	31.29	21036658688	25645408256
32.02	5547	824.97	32.58	21577838592	26156486656
33.03	5680	880.9	33.75	22311616512	27054694400
34.03	5186	930.11	36.41	23140618240	27856896000
35.03	5463	982.73	38.4	23656828928	28128436224
36.03	5395	1035.08	40.07	24759971840	29767946240
37.03	5228	1085.98	41.47	25702449152	30429720576
38.03	5353	1138.3	42.87	26597376000	31372349440
39.03	5467	1191.51	44.35	26989633536	31714103296
40.03	5181	1241.95	45.69	27366322176	32254078976
41.03	5174	1292.39	47.06	28917399552	34221699072
42.03	5399	1343.97	49.56	29797244928	35259502592
43.03	5496	1396.96	51.55	30441635840	35662155776
44.04	5461	1450.22	52.87	31394201600	37070913536
45.04	5602	1505.01	54.18	32178708480	38007332864
46.04	5482	1558.35	55.71	32875118592	38748635136
47.04	5177	1608.79	57.07	34258194432	40122814464
48.04	5775	1665.18	58.45	34943602688	40455254016
49.04	5323	1715.09	61.93	35545927680	40992124928
50.04	5496	1768.47	63.53	36236111872	42056552448
51.04	5133	1818.4	65.01	37663707136	43647623168
52.04	5754	1874.57	66.4	38300729344	43880910848
53.04	5426	1927.52	67.67	39156420608	45255090176
54.04	5601	1982.42	68.86	40122138624	46121295872
55.05	5719	2037.35	71.28	40676614144	46555951104
56.05	5575	2091.52	72.88	41238327296	47399469056
57.05	5319	2143.4	74.15	42228461568	48278093824
58.05	5607	2198.36	75.34	42963156992	49380732928
59.05	5358	2250.34	76.96	43889225728	50118930432
60.05	5474	2303.95	78.11	44550950912	50742493184
61.05	5576	2357.32	80.63	44720885760	51160670208
62.05	5397	2409.49	82.47	45543673856	51930869760
63.05	5454	2462.66	83.87	46359384064	52841496576
64.05	5532	2516.77	85.1	47129542656	53605486592
65.05	5406	2569.56	86.43	47677014016	54081458176
66.05	5097	2619.24	87.77	48625127424	54938652672
67.05	5363	2670.85	89.81	49571491840	56129830912
68.06	5194	2719.99	92.58	50492551168	57229365248
69.06	5473	2773.39	93.98	51231645696	57856032768
70.06	5282	2824.72	95.54	52544024576	59518230528
71.06	5172	2875.18	96.97	53417340928	60329746432
72.06	5553	2929.49	98.21	53726220288	60476383232
73.06	5427	2982.38	99.55	54596034560	61403488256
74.06	5140	3030.71	102.7	55771377664	62937677824
75.06	5433	3083.71	104.05	56144572416	62991413248
76.06	5095	3133.37	105.36	56851197952	64199372800
77.06	5236	3184.39	106.72	57523077120	64464703488
78.06	5425	3237.2	108.15	58233372672	65260695552
79.06	5222	3287.77	109.88	58901319680	66289061888
80.06	5294	3339.16	111.45	59896733696	67113951232
81.06	5158	3389.37	112.84	60193193984	67362803712
82.07	5260	3440.79	114.05	61387788288	68794777600
83.07	4992	3488.87	115.91	62006882304	69612625920
84.07	5483	3542.52	117.22	62797553664	70216605696
85.07	5102	3592.27	118.64	63656914944	71392563200
86.07	5515	3645.24	120.84	64460288000	72191660032
87.07	5514	3699.01	122.2	65335443456	73262297088
88.07	5553	3753.03	123.76	66309451776	74410766336
89.08	5603	3807.75	125.29	67222532096	75078684672
90.08	5694	3863.25	126.75	67601485824	75449335808
